Data_entry_person,Observation_ID,study,Paper_no,Author,Year,DeltaCO2_av,CO2_elevated_group,Unit,Food.supply,Food.relative,Food.relative score,Mean_Ambient,SE_Ambient,SD_Ambient,95CI_Ambient,N_Ambient,Mean_Elevated,SE_Elevated,SD_Elevated,95CI_Elevated,N_Elevated,Notes,,,,
Kat,47,5,3,Hettinger-1,2013,563,elevated_1,shell growth (mm),High,natural,3,0.034772,0.000912,0.002039294,,5,0.031684,0.002035,0.004550398,,5,n was very poorly described,,,,
Kat,49,7,3,Hettinger-1,2013,563,elevated_1,shell growth (mm),Low,one tenth,1,0.030982,0.004912,0.010983566,,5,0.026702,0.002105,0.004706923,,5,n was very poorly described,,,,
Joey,50,8,4,Thomsen-1,2013,740,elevated_1,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,,7,0.299811499,0.097078222,0.256844833,,7,,,,,
Joey,52,10,4,Thomsen-1,2013,740,elevated_1,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,,7,1.85862394,1.252214892,3.313049191,,7,,,,,
Joey,53,8,4,Thomsen-2,2013,2020,elevated_2,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,,7,0.1275,0.071,0.187848343,,7,,,,,
Joey,55,10,4,Thomsen-2,2013,2020,elevated_2,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,,7,1.843355325,0.893119698,2.362972613,,7,,,,,
Joey,56,8,4,Thomsen-3,2013,3620,elevated_3,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,,7,0.1033,0.0889,0.235207292,,7,,,,,
Joey,58,10,4,Thomsen-3,2013,3620,elevated_3,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,,7,1.439773798,0.718378888,1.900651884,,7,,,,,
Norah,59,11,5,Crook-1,2013,360,elevated_1,skeleton dry weight (mg),Low,low maintenance,1,10.98214,0.535714,2.512721388,,22,5.625,0.535714,2.834732036,,28,Crook data with N= individuals not jars,,,,extracted data from figs but have raw data and it gives slightly diff answers
Norah,60,12,5,Crook-1,2013,360,elevated_1,skeleton dry weight (mg),High,plentiful,3,48.8,3.466667,14.70782246,,18,36.8,3.466667,16.62555088,,23,Crook data with N= individuals not jars,,,,extracted data from figs but have raw data and it gives slightly diff answers
