Data_entry_person,New.ID,Observation_ID,study,Paper_no,Author,Year,Taxon,Taxon.big,"CO2 treatment (control, uatm)","CO2 treatment (elevated, uatm)",DeltaCO2,DeltapH,Unit,Treatment,CO2,Food.supply,Food.relative,Food.relative score,Mean,SE,SD,95CI,N
Joey,2,4,4,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),AmbientHigh,Ambient,High,ad libitum,4,336.98166,11.58,81.91,,50
Joey,36,3,3,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),AmbientLow,Ambient,Low,starvation,0,240.41,11.58,81.91,,50
Joey,70,4,4,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),ElevatedHigh,Elevated,High,ad libitum,4,339.27267,11.58,81.907714,,50
Joey,104,3,3,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),ElevatedLow,Elevated,Low,starvation,0,237.297,11.58,81.907714,,50
Norah,10,25,17,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),AmbientHigh,Ambient,High,ad libitum,4,8.774648,0.985915,2.41498868,,6
Norah,44,23,15,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),AmbientLow,Ambient,Low,starvation,0,3.992958,0.492958,1.207495565,,6
Norah,78,25,17,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),ElevatedHigh,Elevated,High,ad libitum,4,9.56338,2.267606,5.554477638,,6
Norah,112,23,15,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),ElevatedLow,Elevated,Low,starvation,0,4.190141,0.788732,1.931990944,,6
Norah,9,22,14,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),AmbientHigh,Ambient,High,ad libitum,4,6.047431,0.687747,2.174846974,,10
Kat,16,38,26,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),AmbientHigh,Ambient,High,ad libitum,4,1.300913,0.099087,0.313340607,,10
Norah,43,21,13,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),AmbientLow,Ambient,Low,starvation,0,3.913043,0.56917,1.799873576,,10
Kat,50,37,25,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),AmbientLow,Ambient,Low,starvation,0,1.380822,0.086301,0.272907724,,10
Norah,77,22,14,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),ElevatedHigh,Elevated,High,ad libitum,4,5.667984,1.328063,4.199703956,,10
Kat,84,38,26,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),ElevatedHigh,Elevated,High,ad libitum,4,1.32968,0.089498,0.283017526,,10
Norah,111,21,13,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),ElevatedLow,Elevated,Low,starvation,0,5.146245,0.142292,0.449966813,,10
Kat,118,37,25,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),ElevatedLow,Elevated,Low,starvation,0,1.006849,0.09589,0.303230805,,10
Kat,13,33,21,8,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,dry weight - Tjarno (mg),AmbientHigh,Ambient,High,full,3,0.048478,0.006633673,0.016249115,0.013002,6
