Data_entry_person,Observation_ID,study,Paper_no,Author,Author-2,level,co2_level,DeltaCO2,Food.supply,Unit,Mean_Ambient,SE_Ambient,SD_Ambient,N_Ambient,Mean_Elevated,SE_Elevated,SD_Elevated,N_Elevated
Norah,77,43,17,Buscher,Buscher,1,1,600,Low,Growth (%/day),0.506,0.002,0.004,4,0.501,0.0015,0.00300,4
Norah,78,44,17,Buscher,Buscher,2,1,600,High,Growth (%/day),0.506,0.0025,0.005,4,0.5,0.0015,0.00300,4
Norah,1,1,1,Cole,Cole,1,1,769.65,Low,shell length (um),274.9513,2.0468,1.1817,3,274.9513,2.729,1.57560,3
Norah,2,2,1,Cole,Cole,2,1,769.65,High,shell length (um),292.6901,5.4581,3.1512,3,274.9513,4.7758,2.75730,3
Joey,23,15,7,Comeau,Comeau,1,1,331.5,Low,biomass (mg/cm2),3.992958,0.492958,1.207495565,6,4.190141,0.788732,1.93199,6
Joey,25,17,7,Comeau,Comeau,2,1,331.5,High,biomass (mg/cm2),8.774648,0.985915,2.41498868,6,9.56338,2.267606,5.55448,6
Joey,17,11,5,Crook-1,Crook,1,1,360,Low,volume (mm3),8.62069,1.293103,7.540021388,34,7.758621,0.862069,5.31415,38
Joey,18,12,5,Crook-1,Crook,2,1,360,High,volume (mm3),81.03448,9.051724,43.4105433,23,78.87931,7.758621,37.20904,23
Joey,19,11,5,Crook-2,Crook,1,2,810,Low,volume (mm3),8.62069,1.293103,7.540021388,34,8.189655,1.293103,6.96357,29
Joey,20,12,5,Crook-2,Crook,2,2,810,High,volume (mm3),81.03448,9.051724,43.4105433,23,84.91379,5.603448,26.28250,22
Joey,39,27,11,Drenkard-1,Drenkard,1,1,880,Low,tissue lipid weight per spat (ug/mm2),10.34483,0.344828,0.597259616,3,11.81034,2.5,4.33013,3
Joey,40,28,11,Drenkard-1,Drenkard,2,1,901,High,tissue lipid weight per spat (ug/mm2),13.27586,1.034483,1.791777116,3,12.67241,2.068966,3.58355,3
Joey,73,39,11,Drenkard-2,Drenkard,1,1,880,Low,septa diameter (um),1385.96,26.32,45.58757726,3,1322,42.39,73.42163,3
Joey,74,40,11,Drenkard-2,Drenkard,2,1,901,High,septa diameter (um),2132,60.03,103.97501,3,2062,44.19,76.53933,3
Norah,21,13,6,Edmunds,Edmunds,1,1,372.1,Low,biomass (mg/cm2),3.913043,0.56917,1.799873576,10,5.146245,0.142292,0.44997,10
Norah,22,14,6,Edmunds,Edmunds,2,1,372.1,High,biomass (mg/cm2),6.047431,0.687747,2.174846974,10,5.667984,1.328063,4.19970,10
