data_entry_person.x,observation_id.x,paper_no.x,author,year.x,deltaco2_av.x,co2_elevated_group.x,unit.x,food_supply.x,food_relative.x,food_relative_score.x,B,se_ambient.x,s_B,x95ci_ambient.x,n_B,AB,se_elevated.x,s_AB,x95ci_elevated.x,n_AB,notes.x,x24.x,x25.x,x26.x,x27.x,data_entry_person.y,observation_id.y,paper_no.y,year.y,deltaco2_av.y,co2_elevated_group.y,unit.y,food_supply.y,food_relative.y,food_relative_score.y,C,se_ambient.y,s_C,x95ci_ambient.y,n_C,A,se_elevated.y,s_A,x95ci_elevated.y,n_A,notes.y,x24.y,x25.y,x26.y,x27.y,log_AB,log_A,log_B,log_C,lnRR_interaction,sampling_variance_interaction,lnRR_overall_CO2,sampling_variance_overall_CO2,lnRR_overall_food,sampling_variance_overall_food
Kat,47,3,Hettinger-1,2013,563,elevated_1,shell growth (mm),High,natural,3,0.034772,9.12e-4,0.002039294,NA,5,0.031684,0.002035,0.004550398,NA,5,n was very poorly described,NA,NA,NA,NA,Kat,49,3,2013,563,elevated_1,shell growth (mm),Low,one tenth,1,0.030982,0.004912,0.010983566,NA,5,0.026702,0.002105,0.004706923,NA,5,n was very poorly described,NA,NA,NA,NA,-3.451943457380104,-3.6230168100142337,-3.3589428137653194,-3.474348888297966,0.05566727810148331,0.036163888360330555,-0.11884437064140307,0.008287512802043026,0.1415602358369461,0.009708818336641476
Joey,52,4,Thomsen-1,2013,740,elevated_1,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.85862394,1.252214892,3.313049191,NA,7,NA,NA,NA,NA,NA,Joey,50,4,2013,740,elevated_1,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.299811499,0.097078222,0.256844833,NA,7,NA,NA,NA,NA,NA,0.6198363967210113,-1.2046013384788157,0.8787229404367913,-1.6165318198019414,-0.6708170250389058,1.0780685694063503,-0.18858980487119037,0.5366928373416255,2.1471381877684075,0.24329536920763378
Joey,55,4,Thomsen-2,2013,2020,elevated_2,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.843355325,0.893119698,2.362972613,NA,7,NA,NA,NA,NA,NA,Joey,53,4,2013,2020,elevated_2,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1275,0.071,0.187848343,NA,7,NA,NA,NA,NA,NA,0.6115874571747142,-2.059638914383656,0.8787229404367913,-1.6165318198019414,0.17597161131963746,1.0641523332718075,-0.279505806664445,0.404751680886071,2.567789548310593,0.27261919934261847
Joey,58,4,Thomsen-3,2013,3620,elevated_3,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.439773798,0.718378888,1.900651884,NA,7,NA,NA,NA,NA,NA,Joey,56,4,2013,3620,elevated_3,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1033,0.0889,0.235207292,NA,7,NA,NA,NA,NA,NA,0.3644860165265899,-2.270117902856544,0.8787229404367913,-1.6165318198019414,0.13934915914440116,1.5088949828717078,-0.5241970304686234,0.41815323319413233,2.5451537200740306,0.33683789471722014
Norah,60,5,Crook-1,2013,360,elevated_1,skeleton dry weight (mg),High,plentiful,3,48.8,3.466667,14.70782246,NA,18,36.8,3.466667,16.62555088,NA,23,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,Norah,59,5,2013,360,elevated_1,skeleton dry weight (mg),Low,low maintenance,1,10.98214,0.535714,2.512721388,NA,22,5.625,0.535714,2.834732036,NA,28,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,3.6054978451748854,1.7272209480904839,3.8877303128591016,2.396270316908733,0.3868169011340328,0.02537044172939521,-0.34296914302049863,0.010279385338889741,1.6398525597785691,0.005361412247447226
Norah,62,5,Crook-2,2013,810,elevated_2,skeleton dry weight (mg),High,plentiful,3,48.8,3.466667,14.70782246,NA,18,37.86667,2.933333,13.75855133,NA,22,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,Norah,61,5,2013,810,elevated_2,skeleton dry weight (mg),Low,low maintenance,1,10.93333,1.6,7.504665216,NA,22,6.964286,0.267857,1.312225948,NA,24,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,3.6340713056471063,1.9407950894141832,3.8877303128591016,2.391815921843893,0.1973618252177145,0.033942350412724365,-0.2869912731235975,0.008402530245031624,1.5774018611896121,0.010961437025032965
Norah,64,6,Edmunds,2011,372.1,elevated_1,calcification per unit biomass: mg/mg*d,High,ad libitum,4,0.240788,0.020192,0.063852711,NA,10,0.220358,0.018346,0.058015146,NA,10,Edmunds data with N= individuals not tanks,NA,NA,NA,NA,Norah,63,6,2011,372.1,elevated_1,calcification per unit biomass: mg/mg*d,Low,starvation,0,0.249864,0.019266,0.060924441,NA,10,0.210166,0.020183,0.06382425,NA,10,Edmunds data with N= individuals not tanks,NA,NA,NA,NA,-1.5125017824761695,-1.55985758433595,-1.4238384006762637,-1.3868385091415756,0.08435569339446847,0.029131412113305916,-0.13073204742682965,0.007249056559736911,0.0024229909289695817,0.007178774021190925
Norah,67,7,Comeau,2013,331.5,elevated_1,calcification per unit biomass: CaCO3 day-1 mg-2,High,ad libitum,4,0.110164,0.010492,0.025700046,NA,6,0.104918,0.018361,0.044975081,NA,6,"They did have starvation, low, and high but Ramajo only used starvation and high food .... used high light",NA,NA,NA,NA,Norah,65,7,2013,331.5,elevated_1,calcification per unit biomass: CaCO3 day-1 mg-2,Low,starvation,0,0.215082,0.039344,0.096372724,NA,6,0.16918,0.020984,0.051400093,NA,6,"They did have starvation, low, and high but Ramajo only used starvation and high food .... used high light",NA,NA,NA,NA,-2.254576186307734,-1.7767920421062686,-2.205785114400335,-1.5367359282183555,0.19126504198051442,0.08854288696448723,-0.17109611240981937,0.02602177533033739,-0.5803052608354725,0.023132720441936344
Kat,70,8,Pansch-1,2014,561.3,elevated_1,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),High,one fifth,1,1.375634518,0.352222107,0.862764439,0.69035533,6,1.025380711,0.170931317,0.418694507,0.335025381,6,NA,NA,NA,NA,NA,Kat,68,8,2014,561.3,elevated_1,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),Low,one fifth,1,1.38071066,0.258986843,0.634385617,0.507614213,6,1.012690355,0.265461515,0.650245257,0.520304569,6,NA,NA,NA,NA,NA,0.025063968994899367,0.012610507266115036,0.3189150923114541,0.3225983376315383,0.016136707048868493,0.19724632839227263,-0.30190178666368495,0.0491572193179359,0.0031762867527613814,0.05059927793400938
Kat,71,8,Pansch-2,2014,2648.65,elevated_2,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),High,full,3,1.375634518,0.352222107,0.862764439,0.69035533,6,0.631193084,0.245389457,0.601078959,0.480963337,6,NA,NA,NA,NA,NA,Kat,69,8,2014,2648.65,elevated_2,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),Low,full,3,1.38071066,0.258986843,0.634385617,0.507614213,6,0.220993201,0.11104486,0.272003246,0.217647926,6,NA,NA,NA,NA,NA,-0.4601434664179778,-1.50962334264351,0.3189150923114541,0.3225983376315383,1.0531631215456163,0.5043724030696364,-1.173855723003314,0.12505421840261785,0.22548719201598738,0.07670783998553861
