data_entry_person.x,observation_id.x,paper_no.x,author,year.x,taxon.x,taxon_big.x,co2_treatment_control_uatm.x,co2_treatment_elevated_uatm.x,deltaco2.x,deltaco2_av.x,deltaph.x,deltaph_av.x,co2_elevated_group.x,unit.x,food_supply.x,food_relative.x,food_relative_score.x,B,se_ambient.x,s_B,x95ci_ambient.x,n_B,AB,se_elevated.x,s_AB,x95ci_elevated.x,n_AB,notes.x,x31.x,x32.x,x33.x,x34.x,data_entry_person.y,observation_id.y,paper_no.y,year.y,taxon.y,taxon_big.y,co2_treatment_control_uatm.y,co2_treatment_elevated_uatm.y,deltaco2.y,deltaco2_av.y,deltaph.y,deltaph_av.y,co2_elevated_group.y,unit.y,food_supply.y,food_relative.y,food_relative_score.y,C,se_ambient.y,s_C,x95ci_ambient.y,n_C,A,se_elevated.y,s_A,x95ci_elevated.y,n_A,notes.y,x31.y,x32.y,x33.y,x34.y,log_AB,log_A,log_B,log_C,lnRR_interaction,sampling_variance_interaction,lnRR_overall_CO2,sampling_variance_overall_CO2,lnRR_overall_food,sampling_variance_overall_food
Kat,47,3,Hettinger,2013,oyster,bivalve,494,1065,571,563,0.3,0.3,elevated_1,shell growth (mm),High,natural,3,0.034772,9.12e-4,0.002039294,NA,5,0.031684,0.002035,0.004550398,NA,5,n was very poorly described,NA,NA,NA,NA,Kat,49,3,2013,oyster,bivalve,539,1094,555,563,0.3,0.3,elevated_1,shell growth (mm),Low,one tenth,1,0.030982,0.004912,0.010983566,NA,5,0.026702,0.002105,0.004706923,NA,5,n was very poorly described,NA,NA,NA,NA,-3.451943457380104,-3.6230168100142337,-3.3589428137653194,-3.474348888297966,0.05566727810148331,0.036163888360330555,-0.11884437064140307,0.008287512802043026,0.1415602358369461,0.009708818336641476
Joey,52,4,Thomsen,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.85862394,1.252214892,3.313049191,NA,7,NA,NA,NA,NA,NA,Joey,50,4,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.299811499,0.097078222,0.256844833,NA,7,NA,NA,NA,NA,NA,0.6198363967210113,-1.2046013384788157,0.8787229404367913,-1.6165318198019414,-0.6708170250389058,1.0780685694063503,-0.18858980487119037,0.5366928373416255,2.1471381877684075,0.24329536920763378
Joey,52,4,Thomsen,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.85862394,1.252214892,3.313049191,NA,7,NA,NA,NA,NA,NA,Joey,53,4,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1275,0.071,0.187848343,NA,7,NA,NA,NA,NA,NA,0.6198363967210113,-2.059638914383656,0.8787229404367913,-1.6165318198019414,0.1842205508659347,1.2833198474941212,-0.27178845979080835,0.5968818785652741,2.571374733515246,0.31409890434222465
Joey,52,4,Thomsen,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.85862394,1.252214892,3.313049191,NA,7,NA,NA,NA,NA,NA,Joey,56,4,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1033,0.0889,0.235207292,NA,7,NA,NA,NA,NA,NA,0.6198363967210113,-2.270117902856544,0.8787229404367913,-1.6165318198019414,0.39469953933882285,1.7138564269526126,-0.28404783648749954,0.6075240440314569,2.648486362352461,0.3712931310192149
Joey,55,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.843355325,0.893119698,2.362972613,NA,7,NA,NA,NA,NA,NA,Joey,50,4,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.299811499,0.097078222,0.256844833,NA,7,NA,NA,NA,NA,NA,0.6115874571747142,-1.2046013384788157,0.8787229404367913,-1.6165318198019414,-0.6790659645852029,0.8589010551840364,-0.19568887084263575,0.3738115409846441,2.1435530025637544,0.20181566420802766
Joey,55,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.843355325,0.893119698,2.362972613,NA,7,NA,NA,NA,NA,NA,Joey,53,4,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1275,0.071,0.187848343,NA,7,NA,NA,NA,NA,NA,0.6115874571747142,-2.059638914383656,0.8787229404367913,-1.6165318198019414,0.17597161131963746,1.0641523332718075,-0.279505806664445,0.404751680886071,2.567789548310593,0.27261919934261847
Joey,55,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.843355325,0.893119698,2.362972613,NA,7,NA,NA,NA,NA,NA,Joey,56,4,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1033,0.0889,0.235207292,NA,7,NA,NA,NA,NA,NA,0.6115874571747142,-2.270117902856544,0.8787229404367913,-1.6165318198019414,0.3864505997925256,1.4946889127302985,-0.29186074835807485,0.41067701992462957,2.644901177147808,0.3298134260196088
Joey,58,4,Thomsen,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.439773798,0.718378888,1.900651884,NA,7,NA,NA,NA,NA,NA,Joey,50,4,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.299811499,0.097078222,0.256844833,NA,7,NA,NA,NA,NA,NA,0.3644860165265899,-1.2046013384788157,0.8787229404367913,-1.6165318198019414,-0.9261674052333271,0.8731071253254454,-0.4043266805518453,0.37174680467735377,2.0438055454899766,0.20884013290563896
Joey,58,4,Thomsen,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.439773798,0.718378888,1.900651884,NA,7,NA,NA,NA,NA,NA,Joey,53,4,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1275,0.071,0.187848343,NA,7,NA,NA,NA,NA,NA,0.3644860165265899,-2.059638914383656,0.8787229404367913,-1.6165318198019414,-0.071129829328487,1.0783584034132163,-0.5086357546989009,0.41024476063686516,2.468042091236815,0.2796436680402298
Joey,58,4,Thomsen,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.439773798,0.718378888,1.900651884,NA,7,NA,NA,NA,NA,NA,Joey,56,4,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1033,0.0889,0.235207292,NA,7,NA,NA,NA,NA,NA,0.3644860165265899,-2.270117902856544,0.8787229404367913,-1.6165318198019414,0.13934915914440116,1.5088949828717078,-0.5241970304686234,0.41815323319413233,2.5451537200740306,0.33683789471722014
